City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kruisfontein,28,ZA,1610233413,82,-34.0033,24.7314,20.56,1.79
1,bredasdorp,47,ZA,1610233416,88,-34.5322,20.0403,18.0,2.57
2,dolinsk,75,RU,1610233417,78,47.35,142.8,-15.0,5.0
3,kanor,3,IN,1610233418,88,24.4333,74.2667,16.42,3.15
4,maridi,35,SS,1610233419,48,4.9158,29.4742,23.05,2.03
5,kelso,1,US,1610233420,76,46.1468,-122.9084,7.0,3.09
6,ushuaia,75,AR,1610233364,54,-54.8,-68.3,12.0,3.09
7,hofn,0,IS,1610233422,82,64.2539,-15.2082,-5.66,5.34
8,isangel,75,VU,1610233423,79,-19.55,169.2667,30.0,1.54
9,puerto ayora,0,EC,1610233424,69,-0.7393,-90.3518,27.0,96.2
10,georgetown,20,MY,1610233316,78,5.4112,100.3354,26.0,2.06
11,hobart,20,AU,1610233206,59,-42.8794,147.3294,22.22,2.57
12,evensk,63,RU,1610233427,81,61.95,159.2333,-18.19,4.74
13,kiruna,90,SE,1610233428,86,67.8557,20.2251,-8.0,2.57
14,san patricio,90,US,1610233429,71,28.017,-97.5169,14.0,7.2
15,rikitea,100,PF,1610233430,75,-23.1203,-134.9692,25.88,5.86
16,kahului,40,US,1610233431,61,20.8947,-156.47,27.0,4.12
17,chenzhou,95,CN,1610233432,83,25.8,113.0333,0.97,0.7
18,yellowknife,20,CA,1610233433,92,62.456,-114.3525,-11.0,2.57
19,abu dhabi,0,AE,1610233204,41,24.4667,54.3667,15.0,1.54
20,katsuura,20,JP,1610233436,60,35.1333,140.3,1.0,2.57
21,margate,5,GB,1610233436,87,51.3813,1.3862,2.22,0.89
22,vardo,100,NO,1610233438,94,70.3705,31.1107,-6.15,6.98
23,port alfred,15,ZA,1610233439,89,-33.5906,26.891,21.11,2.68
24,saint-philippe,0,RE,1610233440,78,-21.3585,55.7679,23.0,2.06
25,new norfolk,12,AU,1610233441,37,-42.7826,147.0587,22.22,0.89
26,mar del plata,0,AR,1610233444,77,-38.0023,-57.5575,20.56,1.54
27,bluff,100,NZ,1610233445,77,-46.6,168.3333,16.67,5.81
28,butaritari,74,KI,1610233446,80,3.0707,172.7902,27.68,8.89
29,avarua,75,CK,1610233447,65,-21.2078,-159.775,29.0,2.57
30,huarmey,45,PE,1610233448,77,-10.0681,-78.1522,22.62,4.63
31,kaitangata,44,NZ,1610233448,52,-46.2817,169.8464,20.0,3.13
32,monte alegre,100,BR,1610233255,77,-2.0078,-54.0692,25.54,0.81
33,hermanus,79,ZA,1610233451,92,-34.4187,19.2345,18.33,5.42
34,tuktoyaktuk,75,CA,1610233452,85,69.4541,-133.0374,-17.0,8.23
35,punta arenas,75,CL,1610233416,71,-53.15,-70.9167,10.0,4.63
36,airai,100,TL,1610233454,100,-8.9266,125.4092,18.88,0.45
37,atuona,97,PF,1610233457,78,-9.8,-139.0333,25.51,7.88
38,vostok,100,RU,1610233458,87,46.4856,135.8833,-27.71,1.62
39,norman wells,20,CA,1610233459,85,65.282,-126.8329,-15.0,3.09
40,vaini,75,TO,1610233460,89,-21.2,-175.2,28.0,4.12
41,jamestown,1,US,1610233313,74,42.097,-79.2353,-1.11,4.12
42,busselton,94,AU,1610233462,80,-33.65,115.3333,20.0,2.24
43,hualmay,53,PE,1610233312,76,-11.0964,-77.6139,22.62,5.06
44,severo-kurilsk,92,RU,1610233464,88,50.6789,156.125,-6.03,4.9
45,faanui,1,PF,1610233466,70,-16.4833,-151.75,27.41,5.55
46,albany,100,US,1610233467,56,42.6001,-73.9662,-1.67,3.23
47,dikson,100,RU,1610233468,87,73.5069,80.5464,-20.97,4.51
48,san jose de miranda,92,CO,1610233469,79,6.6587,-72.7334,15.47,0.89
49,mataura,88,NZ,1610233337,77,-46.1927,168.8643,16.67,5.81
50,padang,40,ID,1610233471,88,-0.9492,100.3543,24.0,2.06
51,portland,1,US,1610233284,61,45.5234,-122.6762,9.44,2.57
52,barrow,90,US,1610233474,78,71.2906,-156.7887,-14.0,3.09
53,krasnaya polyana,99,RU,1610233476,96,56.242,51.1442,-10.46,4.2
54,tucuman,20,AR,1610233354,61,-26.8241,-65.2226,28.0,0.72
55,nanae,75,JP,1610233478,85,41.8833,140.6833,-14.0,2.06
56,gull lake,1,CA,1610233479,80,50.1001,-108.4847,-4.0,7.72
57,gayeri,3,BF,1610233480,16,12.6497,0.4931,27.16,4.51
58,pevek,47,RU,1610233481,88,69.7008,170.3133,-30.83,1.31
59,marsh harbour,29,BS,1610233206,65,26.5412,-77.0636,18.34,6.64
60,labuhan,100,ID,1610233483,85,-6.8844,112.2051,25.09,2.23
61,auki,100,SB,1610233484,69,-8.7676,160.7034,29.24,1.4
62,mayo,1,US,1610233485,49,38.8876,-76.5119,6.0,4.12
63,santiago,40,CL,1610232669,38,-33.4569,-70.6483,25.0,5.14
64,verkhnyaya inta,0,RU,1610233488,89,65.9811,60.3094,-19.78,2.97
65,razole,86,IN,1610233489,96,16.4833,81.8333,19.03,1.95
66,chuy,98,UY,1610233491,68,-33.6971,-53.4616,19.58,4.65
67,acapulco,75,MX,1610233491,74,16.8634,-99.8901,28.0,2.06
68,tautira,75,PF,1610233315,66,-17.7333,-149.15,30.0,5.66
69,ribeira grande,73,PT,1610233493,66,38.5167,-28.7,14.67,6.26
70,buritis,95,BR,1610233494,80,-15.6178,-46.4233,23.04,0.88
71,gorontalo,9,ID,1610233495,88,0.5412,123.0595,25.21,1.43
72,vila franca do campo,40,PT,1610233496,58,37.7167,-25.4333,12.0,2.57
73,kavieng,99,PG,1610233497,72,-2.5744,150.7967,29.08,4.23
74,lieksa,67,FI,1610233498,93,63.3167,30.0167,-16.61,2.66
75,sulphur springs,1,US,1610233499,46,33.1385,-95.6011,8.0,2.57
76,praia da vitoria,20,PT,1610233500,76,38.7333,-27.0667,13.89,2.98
77,dunedin,39,NZ,1610233501,55,-45.8742,170.5036,17.06,2.51
78,ust-omchug,100,RU,1610233502,84,61.15,149.6333,-27.85,2.88
79,jardim,24,BR,1610233503,57,-21.4803,-56.1381,27.93,0.67
80,willowmore,1,ZA,1610233505,61,-33.2926,23.4895,17.04,2.76
81,nanortalik,100,GL,1610233506,91,60.1432,-45.2371,-1.33,3.42
82,bagdarin,100,RU,1610233507,83,54.4333,113.6,-21.8,2.05
83,izumo,75,JP,1610233259,93,35.3667,132.7667,-1.0,5.66
84,kannauj,6,IN,1610233509,75,27.0546,79.922,16.06,2.7
85,tiksi,100,RU,1610233510,88,71.6872,128.8694,-28.52,3.01
86,mbulu,100,TZ,1610233511,95,-3.85,35.5333,14.82,5.22
87,college,90,US,1610233511,73,64.8569,-147.8028,-9.0,2.57
88,lao cai,86,VN,1610233512,53,22.4833,103.95,7.99,0.86
89,muros,100,ES,1610233513,73,42.7762,-9.0603,7.78,3.13
90,kargala,100,RU,1610233514,86,56.6208,83.9607,-17.22,2.24
91,namangan,0,UZ,1610233515,79,40.9983,71.6726,-7.0,2.06
92,samarai,100,PG,1610233516,74,-10.6167,150.6667,29.5,4.73
93,fortuna,1,US,1610233517,58,40.5982,-124.1573,15.56,1.37
94,narsaq,75,GL,1610233518,42,60.9167,-46.05,5.0,9.77
95,thaba-tseka,81,LS,1610233519,74,-29.522,28.6084,14.75,1.4
96,cherskiy,96,RU,1610233520,86,68.75,161.3,-32.77,1.55
97,tuy hoa,86,VN,1610233521,86,13.0833,109.3,21.3,5.89
98,srednekolymsk,83,RU,1610233523,84,67.45,153.6833,-33.8,2.14
99,waynesville,0,US,1610233525,86,35.4887,-82.9887,-3.89,1.7
100,maniitsoq,99,GL,1610233526,88,65.4167,-52.9,-4.25,5.07
101,houma,1,US,1610233527,49,29.5958,-90.7195,10.0,3.6
102,sabang,93,ID,1610233528,75,5.8933,95.3214,27.22,4.6
103,hilo,75,US,1610233529,57,19.7297,-155.09,27.0,2.06
104,provideniya,1,RU,1610233530,82,64.3833,-173.3,-21.84,3.14
105,port-cartier,18,CA,1610233531,50,50.0334,-66.8654,-2.0,4.63
106,souillac,40,MU,1610233531,89,-20.5167,57.5167,26.0,2.06
107,bethel,90,US,1610233534,43,41.3712,-73.414,0.0,4.63
108,ossora,100,RU,1610233535,83,59.2353,163.0719,-15.6,3.75
109,shelburne,1,CA,1610233536,74,44.0787,-80.2041,-1.0,2.57
110,cidreira,0,BR,1610233537,82,-30.1811,-50.2056,25.33,7.14
111,puerto del rosario,20,ES,1610233538,58,28.5004,-13.8627,15.0,5.14
