City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,70,NZ,1610152258,74,-46.1927,168.8643,288.71,6.71
1,longyearbyen,75,SJ,1610152259,79,78.2186,15.6401,267.15,6.69
2,port elizabeth,20,ZA,1610152260,88,-33.918,25.5701,294.15,3.09
3,tuktoyaktuk,75,CA,1610152262,85,69.4541,-133.0374,255.15,3.09
4,ushuaia,75,AR,1610152227,41,-54.8,-68.3,287.15,9.26
5,bluff,100,NZ,1610152264,74,-46.6,168.3333,288.71,6.71
6,butaritari,100,KI,1610152265,81,3.0707,172.7902,300.34,8.5
7,tenenkou,0,ML,1610152267,19,14.4572,-4.9169,295.36,2.51
8,coquimbo,90,CL,1610152128,77,-29.9533,-71.3436,289.15,2.57
9,airai,100,TL,1610152269,85,-8.9266,125.4092,295.59,0.2
10,rikitea,23,PF,1610152270,73,-23.1203,-134.9692,299.33,5.94
11,monrovia,7,LR,1610152271,86,6.3005,-10.7969,299.34,1.96
12,constitucion,0,CL,1610152272,82,-35.3333,-72.4167,285.27,5.01
13,new norfolk,0,AU,1610152273,34,-42.7826,147.0587,298.15,2.24
14,busselton,96,AU,1610152274,33,-33.65,115.3333,303.15,1.34
15,alice springs,0,AU,1610152252,28,-23.7,133.8833,303.15,6.69
16,seoul,40,KR,1610151720,47,37.5683,126.9778,259.15,0.51
17,atuona,1,PF,1610152277,76,-9.8,-139.0333,298.28,7.41
18,isangel,90,VU,1610152278,100,-19.55,169.2667,299.15,2.38
19,fairbanks,75,US,1610152148,78,64.8378,-147.7164,262.15,0.04
20,vardo,70,NO,1610152279,95,70.3705,31.1107,267.87,9.03
21,vaini,40,TO,1610152280,79,-21.2,-175.2,303.15,4.63
22,bambous virieux,40,MU,1610152281,88,-20.3428,57.7575,298.15,5.66
23,cidreira,0,BR,1610152282,68,-30.1811,-50.2056,296.68,4.45
24,vila franca do campo,20,PT,1610152283,76,37.7167,-25.4333,284.15,3.09
25,orsha,100,BY,1610152286,98,54.5153,30.4053,270.06,4.29
26,hamilton,90,US,1610152207,69,39.1834,-84.5333,272.59,5.14
27,yertsevo,75,RU,1610152288,91,60.7966,40.086,250.79,1.78
28,kaitangata,76,NZ,1610152289,63,-46.2817,169.8464,288.71,6.71
29,saint-pierre,0,RE,1610152290,68,-21.3393,55.4781,296.15,2.06
30,jamestown,90,US,1610152292,86,42.097,-79.2353,268.71,4.12
31,beringovskiy,15,RU,1610152294,87,63.05,179.3167,245.02,3.31
32,hobart,20,AU,1610152217,53,-42.8794,147.3294,298.15,3.6
33,mattru,0,SL,1610152296,95,7.6244,-11.8332,296.82,0.48
34,tsuruga,58,JP,1610152297,55,35.6455,136.0558,273.15,1.34
35,choszczno,100,PL,1610152298,79,53.169,15.4205,275.37,1.59
36,khani,0,GE,1610152299,39,41.9563,42.9566,280.15,3.09
37,saskylakh,100,RU,1610152300,89,71.9167,114.0833,249.41,4.09
38,avarua,75,CK,1610152301,70,-21.2078,-159.775,302.15,5.14
39,krasnoselkup,99,RU,1610152302,89,65.7,82.4667,249.37,2.89
40,kapaa,1,US,1610152303,57,22.0752,-159.319,300.15,6.69
41,qaanaaq,100,GL,1610152304,89,77.484,-69.3632,255.88,4.26
42,bryan,90,US,1610152051,66,30.6744,-96.37,282.15,3.6
43,chenghai,0,CN,1610152306,31,23.4632,116.768,279.15,5.0
44,chokurdakh,97,RU,1610152307,89,70.6333,147.9167,245.76,1.23
45,cape town,0,ZA,1610151890,88,-33.9258,18.4232,293.15,5.14
46,bakchar,100,RU,1610152310,87,57.0186,82.0711,246.69,3.8
47,singaraja,89,ID,1610152311,69,-8.112,115.0882,301.75,1.17
48,norman wells,75,CA,1610152312,85,65.282,-126.8329,260.15,4.12
49,pevek,96,RU,1610152313,89,69.7008,170.3133,245.38,2.21
50,okhotsk,100,RU,1610152314,87,59.3833,143.3,248.66,5.29
